ID,OriginallyMassAction,OriginallyPolynomial,NumberReactions,IrrelevantSpecies,EffectivelyFullRank,Consistent,IntegerCoefficients,Linear,NondegenerateWrtConservationLaws,Nondegenerate,SpeciesWithGenericLocalACR
BIOMD0000000400,false,false,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",true,true,true,true,,,
BIOMD0000000405,true,true,8,[6],false,true,true,false,true,true,Int64[]
BIOMD0000000406,false,false,55,"[1, 2, 6, 16, 43, 47]",false,false,true,false,,,
BIOMD0000000407,false,true,106,Int64[],true,false,true,false,,,
BIOMD0000000409,false,false,62,"[22, 24]",false,true,true,false,true,true,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 14, 15, 16, 21]"
BIOMD0000000410,false,false,125,Int64[],false,true,true,false,true,true,[6]
BIOMD0000000411,false,false,13,Int64[],true,false,true,false,,,
BIOMD0000000413,true,true,9,Int64[],false,true,true,false,true,true,[1]
BIOMD0000000414,false,false,3,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000415,false,false,5,Int64[],false,false,false,true,,,
BIOMD0000000416,false,false,20,"[13, 14, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",true,false,true,true,,,
BIOMD0000000423,false,false,11,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000424,false,false,58,Int64[],false,false,true,false,,,
BIOMD0000000425,false,false,4,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000426,false,false,57,"[25, 26]",false,true,false,false,,,
BIOMD0000000427,false,false,22,Int64[],false,false,true,false,,,
BIOMD0000000428,false,false,46,[21],false,true,true,false,true,true,Int64[]
BIOMD0000000430,true,true,44,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000431,true,true,44,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000432,false,false,10,"[9, 10, 11]",false,true,true,true,true,true,Int64[]
BIOMD0000000433,false,false,10,"[9, 10, 11]",false,true,true,true,true,true,Int64[]
BIOMD0000000434,false,false,35,"[14, 15, 22, 24, 31, 33, 34]",false,false,true,false,,,
BIOMD0000000435,false,false,8,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000440,false,false,10,"[9, 10, 11]",false,true,true,true,true,true,Int64[]
BIOMD0000000441,false,false,10,"[9, 10, 11]",false,true,true,true,true,true,Int64[]
BIOMD0000000442,false,false,12,"[9, 10, 11]",false,true,true,true,true,true,Int64[]
BIOMD0000000443,false,false,26,"[9, 10, 11, 16]",false,true,true,true,true,true,"[10, 11, 12, 15]"
BIOMD0000000444,false,false,26,"[9, 10, 11]",false,true,true,true,true,true,"[10, 11, 12, 13]"
BIOMD0000000446,false,false,62,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000447,true,true,36,Int64[],true,true,true,false,true,true,Int64[]
BIOMD0000000448,false,false,34,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000449,false,false,34,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000451,false,false,96,"[12, 13]",false,false,true,false,,,
BIOMD0000000452,false,false,186,[88],false,false,true,false,,,
BIOMD0000000453,false,false,186,[88],false,false,true,false,,,
BIOMD0000000454,false,false,8,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000455,false,false,10,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000456,false,false,12,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000457,false,false,200,[26],false,false,true,false,,,
BIOMD0000000458,false,false,6,"[5, 6, 7]",false,true,true,true,true,true,Int64[]
BIOMD0000000459,false,true,6,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000460,false,true,6,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000461,false,false,6,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000462,false,false,8,Int64[],false,false,true,false,,,
BIOMD0000000463,false,false,52,"[36, 37, 38, 39]",false,false,false,false,,,
BIOMD0000000464,false,false,10,"[1, 14]",false,false,true,true,,,
BIOMD0000000465,false,false,14,"[2, 5, 11, 16]",false,false,true,false,,,
BIOMD0000000466,false,false,34,[34],false,false,true,false,,,
BIOMD0000000467,false,false,32,"[1, 2]",false,false,true,false,,,
